,ADY %,0.004,0.008,0.013,0.021,0.032,0.042,0.053,0.063,0.074,0.084,0.126,0.168,0.21,0.252,0.294,0.336,0.42,0.504,0.588,0.672,0.756,0.84,0.924,1.008,1.092,1.176,1.26
,IDY %,0.003,0.006,0.01,0.016,0.024,0.032,0.04,0.048,0.056,0.064,0.096,0.128,0.16,0.192,0.224,0.256,0.32,0.384,0.448,0.512,0.576,0.64,0.704,0.768,0.832,0.896,0.96
16.7,62,,112,83,58,43,35,30,26,23,21,16,13,11,9,8,8,6,6,5,5,4,4,4,3,3,3,3
17.2,63,,105,78,54,40,32,28,24,22,20,15,12,10,9,8,7,6,5,5,4,4,4,3,3,3,3,3
17.8,64,162,98,73,50,37,30,26,23,20,18,14,11,9,8,7,7,6,5,4,4,4,3,3,3,3,3,3
18.3,65,152,92,68,47,35,28,24,21,19,17,13,10,9,8,7,6,5,5,4,4,3,3,3,3,3,3,2
18.9,66,142,86,64,44,33,27,23,20,18,16,12,10,8,7,6,6,5,4,4,4,3,3,3,3,2,2,2
19.4,67,133,80,60,41,31,25,21,19,17,15,11,9,8,7,6,5,5,4,4,3,3,3,3,2,2,2,2
20,68,120,73,54,37,28,22,19,17,15,14,10,8,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2
20.6,69,109,66,49,34,25,20,17,15,14,12,9,7,6,6,5,4,4,3,3,3,2,2,2,2,2,2,2
21.1,70,99,60,45,31,23,19,16,14,12,11,8,7,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2
21.7,71,90,55,41,28,21,17,14,13,11,10,8,6,5,5,4,4,3,3,2,2,2,2,2,2,2,1,1
22.2,72,83,50,37,26,19,15,13,12,10,9,7,6,5,4,4,3,3,3,2,2,2,2,2,2,1,1,1
22.8,73,76,46,34,24,18,14,12,11,9,9,6,5,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1
23.3,74,70,42,32,22,16,13,11,10,9,8,6,5,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1
23.9,75,65,39,29,20,15,12,10,9,8,7,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1
24.4,76,60,36,27,19,14,11,10,8,7,7,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
25,77,56,34,25,17,13,10,9,8,7,6,5,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
25.6,78,52,31,23,16,12,10,8,7,6,6,4,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1
26.1,79,48,29,22,15,11,9,8,7,6,5,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
26.7,80,45,27,20,14,10,8,7,6,6,5,4,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
27.2,81,42,26,19,13,10,8,7,6,5,5,4,3,2,2,2,2,2,,,,,,,,,,
27.8,82,40,24,18,12,9,7,6,6,5,5,3,3,2,2,2,2,2,,,,,,,,,,
28.3,83,38,23,17,12,9,7,6,5,5,4,3,3,2,2,2,2,2,,,,,,,,,,
28.9,84,36,21,16,11,8,7,6,5,4,4,3,2,2,2,2,2,2,,,,,,,,,,
29.4,85,34,20,15,10,8,6,5,5,4,4,3,2,2,2,2,2,2,,,,,,,,,,
30,86,32,19,14,10,7,6,5,4,4,4,3,2,2,2,2,2,2,,,,,,,,,,
30.6,87,30,18,14,9,7,6,5,4,4,3,3,2,2,2,2,2,2,,,,,,,,,,
31.1,88,29,18,13,9,7,5,5,4,4,3,2,2,2,2,2,2,2,,,,,,,,,,
31.7,89,28,17,13,9,6,5,4,4,3,3,2,2,2,2,2,2,2,,,,,,,,,,
32.2,90,27,16,12,8,6,5,4,4,3,3,2,2,2,2,2,2,2,,,,,,,,,,
32.8,91,26,16,12,8,6,5,4,4,3,3,2,2,2,2,2,2,2,,,,,,,,,,
33.3,92,25,15,11,8,6,5,4,3,3,3,2,2,2,2,2,2,2,,,,,,,,,,
33.9,93,24,15,11,7,6,5,4,3,3,3,2,2,2,2,2,2,2,,,,,,,,,,
34.4,94,23,14,10,7,5,4,4,3,3,3,2,2,2,2,2,2,2,,,,,,,,,,
35,95,22,13,10,7,5,4,4,3,3,2,2,2,2,2,2,2,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
